title;pricedc;terjual;link;Original Price;Min Price;Max Price
❤ BELIA ❤ Garnier Sakura White Sakura Glow Pinkish Glow Foam | Hyaluron Whip Foam Sabun Cuci Muka Skin Care 50 100mL;16.500;1RB+ Terjual/ Bulan;/❤-BELIA-❤-Garnier-Sakura-White-Sakura-Glow-Pinkish-Glow-Foam-Hyaluron-Whip-Foam-Sabun-Cuci-Muka-Skin-Care-50-100mL-i.48382819.8313853765?sp_atk=6cec9ee6-7e02-455d-b850-4c93f89c7b4b&xptdk=6cec9ee6-7e02-455d-b850-4c93f89c7b4b;;16500;27500
Ella Skincare Facial Gel Cleanser Tea Tree with Melaleuca Alternifolia Leaf Oil - sebagai Oil Control Antiseptik, Anti Bakteri & Anti Inflamasi;31.360;1RB+ Terjual/ Bulan;/Ella-Skincare-Facial-Gel-Cleanser-Tea-Tree-with-Melaleuca-Alternifolia-Leaf-Oil-sebagai-Oil-Control-Antiseptik-Anti-Bakteri-Anti-Inflamasi-i.95154428.1567571582?sp_atk=2612b0ee-22e4-4ede-b66b-b736602bf2be&xptdk=2612b0ee-22e4-4ede-b66b-b736602bf2be;32000.0;31360;31360
Maxie skincare kemasan baru;78.500;1RB+ Terjual/ Bulan;/Maxie-skincare-kemasan-baru-i.220991231.6256590276?sp_atk=f782c471-14ee-4fe5-b4f5-d0f87dad3586&xptdk=f782c471-14ee-4fe5-b4f5-d0f87dad3586;;78500;80500
COSRX Favorites (Best Sellers Set) Skin Care - Untuk Semua Jenis Kulit;191.250;1RB+ Terjual/ Bulan;/COSRX-Favorites-(Best-Sellers-Set)-Skin-Care-Untuk-Semua-Jenis-Kulit-i.404429429.8956402204?sp_atk=6cd94cfd-cc6c-4731-8c3f-b7d7a2a94cf7&xptdk=6cd94cfd-cc6c-4731-8c3f-b7d7a2a94cf7;255000.0;191250;191250
NAHDA SKINCARE 100% ORIGINAL +SERUM GLOWING;169.999;1RB+ Terjual/ Bulan;/NAHDA-SKINCARE-100-ORIGINAL-SERUM-GLOWING-i.321395656.10511396565?sp_atk=1b851dea-b619-40e8-99ae-620bd0acb1db&xptdk=1b851dea-b619-40e8-99ae-620bd0acb1db;;169999;220999
(BOSS) VIVA Skincare Series - Viva Face Tonic | Viva Milk cleanser | Viva Air mawar - 100ml;4.300;1RB+ Terjual/ Bulan;/(BOSS)-VIVA-Skincare-Series-Viva-Face-Tonic-Viva-Milk-cleanser-Viva-Air-mawar-100ml-i.19847215.9644403061?sp_atk=71a88677-9c1d-4605-9ce4-3bf0e4a80379&xptdk=71a88677-9c1d-4605-9ce4-3bf0e4a80379;;4300;6146
Nahda Skincare Asli ( Grosir );170.000;1RB+ Terjual/ Bulan;/Nahda-Skincare-Asli-(-Grosir-)-i.293237859.6945317235?sp_atk=fe754efd-9973-4edd-b0e4-314a743dd401&xptdk=fe754efd-9973-4edd-b0e4-314a743dd401;;170000;222500
(OFFICIAL) DAVIENA SKINCARE ACNE SERIES | DAVIENASKINCAREPUSAT;65.000;1RB+ Terjual/ Bulan;/(OFFICIAL)-DAVIENA-SKINCARE-ACNE-SERIES-DAVIENASKINCAREPUSAT-i.161803554.2426425190?sp_atk=c18de4af-2a2e-4d35-8724-f2f51a698b41&xptdk=c18de4af-2a2e-4d35-8724-f2f51a698b41;;65000;300000
(OFFICIAL) GLOWING SERIES | DAVIENA SKINCARE | DAVIENA;65.000;1RB+ Terjual/ Bulan;/(OFFICIAL)-GLOWING-SERIES-DAVIENA-SKINCARE-DAVIENA-i.161803554.2426444994?sp_atk=2cc79e70-826e-4e26-b64d-6f427ee26372&xptdk=2cc79e70-826e-4e26-b64d-6f427ee26372;;65000;300000
HYDE BEAUTY SKINCARE ORIGINAL;50.000;1RB+ Terjual/ Bulan;/HYDE-BEAUTY-SKINCARE-ORIGINAL-i.52433618.9141111140?sp_atk=caa698b0-55ac-48f0-b360-d2505ca74075&xptdk=caa698b0-55ac-48f0-b360-d2505ca74075;;50000;215000
Bundling Skincare Camille Beauty;450.000;1RB+ Terjual/ Bulan;/Bundling-Skincare-Camille-Beauty-i.195450779.14156474246?sp_atk=834d3323-7bbc-4c78-838b-9c8f06c4a672&xptdk=834d3323-7bbc-4c78-838b-9c8f06c4a672;450000.0;450000;450000
Lis skincare Facial Wash;30.000;1RB+ Terjual/ Bulan;/Lis-skincare-Facial-Wash-i.71936145.1201724601?sp_atk=ebdb0f5b-a938-410e-a04e-7829eb3527b9&xptdk=ebdb0f5b-a938-410e-a04e-7829eb3527b9;30000.0;30000;30000
[BACA DESKRIPSI] Liz Skincare Night Whitening / Liz Skincare Pemutih Malam [Kemasan Baru];45.000;1RB+ Terjual/ Bulan;/-BACA-DESKRIPSI-Liz-Skincare-Night-Whitening-Liz-Skincare-Pemutih-Malam-Kemasan-Baru--i.863915.7307663578?sp_atk=aa19320d-6775-4495-9928-a61747420d05&xptdk=aa19320d-6775-4495-9928-a61747420d05;45000.0;45000;45000
Nahda Skincare Asli ( Grosir );38.000;1RB+ Terjual/ Bulan;/Nahda-Skincare-Asli-(-Grosir-)-i.568790952.14057595613?sp_atk=6f9db9ab-2d2d-434e-8681-52bc991fdf69&xptdk=6f9db9ab-2d2d-434e-8681-52bc991fdf69;;38000;225999
PAKET GOLD SERIES | DAVIENA SKINCARE;300.000;1RB+ Terjual/ Bulan;/PAKET-GOLD-SERIES-DAVIENA-SKINCARE-i.53737088.5373076462?sp_atk=8d82ec16-bf05-4c1c-bcaf-4990794b4120&xptdk=8d82ec16-bf05-4c1c-bcaf-4990794b4120;300000.0;300000;300000
Acnes Perawatan Skincare UV Tint Sunscreen Toner Creamy Face Wash & Facial Wash Moisturizer Cream;7.450;1RB+ Terjual/ Bulan;/Acnes-Perawatan-Skincare-UV-Tint-Sunscreen-Toner-Creamy-Face-Wash-Facial-Wash-Moisturizer-Cream-i.38076091.13348002106?sp_atk=70315f4d-5a5b-4685-9151-a52a0d120a07&xptdk=70315f4d-5a5b-4685-9151-a52a0d120a07;;7450;29000
[READY STOK] DAVIENA SKINCARE |glow gold acne DAVIENA SKINCARE |DAVINA|Collaglow Daviena|Gold daviena|Clay Mask Daviena|acne daviena|daviena official|daviena jakarta|davienaskincare|davienaskincarejakarta|davienaskincareofficial|davienaskincare.officiali;65.000;1RB+ Terjual/ Bulan;/-READY-STOK-DAVIENA-SKINCARE-glow-gold-acne-DAVIENA-SKINCARE-DAVINA-Collaglow-Daviena-Gold-daviena-Clay-Mask-Daviena-acne-daviena-daviena-official-daviena-jakarta-davienaskincare-davienaskincarejakarta-davienaskincareofficial-davienaskincare.officiali-i.353064223.5268489296?sp_atk=52280b76-c06a-400a-b0e5-f2a87ef3e674&xptdk=52280b76-c06a-400a-b0e5-f2a87ef3e674;;65000;300000
L'Oreal Paris Hyaluronic Acid Cleanser - 100ml - Skincare Pembersih Wajah Loreal;60.400;967 Terjual/ Bulan;/L'Oreal-Paris-Hyaluronic-Acid-Cleanser-100ml-Skincare-Pembersih-Wajah-Loreal-i.62579622.9056479276?sp_atk=c2dd00f8-843c-429b-a608-99d46490a2dc&xptdk=c2dd00f8-843c-429b-a608-99d46490a2dc;75100.0;60400;60400
Madame Gie Madame Clarify Facial Foam - Skin Care Pembersih Wajah/ORIGINAL;13.500;947 Terjual/ Bulan;/Madame-Gie-Madame-Clarify-Facial-Foam-Skin-Care-Pembersih-Wajah-ORIGINAL-i.6913348.3771861139?sp_atk=183e93d1-975d-42d3-85d1-e2a60e9b2481&xptdk=183e93d1-975d-42d3-85d1-e2a60e9b2481;21900.0;13500;13500
Night Cream Glow PRM LUXURY BPOM /krim malam/cream wajah/ perawatan wajah/ glowing/luxury skincare;43.000;929 Terjual/ Bulan;/Night-Cream-Glow-PRM-LUXURY-BPOM-krim-malam-cream-wajah-perawatan-wajah-glowing-luxury-skincare-i.895771.3105594916?sp_atk=3b8ec0ab-f0cc-4bda-b12e-938bf5b4df9c&xptdk=3b8ec0ab-f0cc-4bda-b12e-938bf5b4df9c;43000.0;43000;43000
brilliant skin rejuvenating (ready jakarta) skincare terlaris;128.000;913 Terjual/ Bulan;/brilliant-skin-rejuvenating-(ready-jakarta)-skincare-terlaris-i.311358900.9968310017?sp_atk=ac6de6a1-9d04-4d0a-a318-5fbe612cf11c&xptdk=ac6de6a1-9d04-4d0a-a318-5fbe612cf11c;128000.0;128000;128000
L'Oreal Paris Revitalift Cleansing Foaming Glycerin Skin Care Facial Wash - 100 ml;61.100;875 Terjual/ Bulan;/L'Oreal-Paris-Revitalift-Cleansing-Foaming-Glycerin-Skin-Care-Facial-Wash-100-ml-i.62579622.1023026110?sp_atk=75a314bb-b138-4847-a7d9-dc429011f955&xptdk=75a314bb-b138-4847-a7d9-dc429011f955;76000.0;61100;61100
Ella Skincare Shine Bright Facial Gel Cleanser with Glycolic Acid - Menjaga Kulit Agar Tetap Segar, Halus & Lembut;31.360;868 Terjual/ Bulan;/Ella-Skincare-Shine-Bright-Facial-Gel-Cleanser-with-Glycolic-Acid-Menjaga-Kulit-Agar-Tetap-Segar-Halus-Lembut-i.95154428.1567541843?sp_atk=b2332dd8-d138-4a24-92a6-e807ca5186fc&xptdk=b2332dd8-d138-4a24-92a6-e807ca5186fc;32000.0;31360;31360
NGLOW SKINCARE;128.900;840 Terjual/ Bulan;/NGLOW-SKINCARE-i.542958029.11950932215?sp_atk=ca521ea8-177b-4e08-bb02-0f996ef36a9f&xptdk=ca521ea8-177b-4e08-bb02-0f996ef36a9f;200000.0;128900;128900
